date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-12-30,2%,4%,bull,100%,1.9201920192019222%,10570.470456640545,117.99235845779785
2023-01-02,-2%,4%,bear,50%,10.008831321754485%,11628.45101456159,129.80201458839875
2023-01-03,-2%,4%,bear,50%,1.1105164570511084%,11693.018945670006,131.2434873219868
2023-01-04,2%,4%,bull,100%,-0.14556040756914046%,11688.740347825473,131.05244876693297
2023-01-05,2%,4%,bull,100%,-1.6034985422740444%,11501.311566737893,128.95102466134077
2023-01-06,0%,4%,neutral,100%,2.2356902356902313%,11758.445266411763,131.83397012851688
2023-01-09,0%,4%,neutral,100%,7.522065604004753%,12642.923233362248,141.75060784994795
2023-01-10,0%,4%,neutral,100%,-0.9679000245038057%,12520.552376288537,140.37860368183402
2023-01-11,2%,4%,bull,100%,4.020784362241742%,13023.976788300633,146.0229246266065
2023-01-12,2%,4%,bull,100%,2.390580399619416%,13335.32542465273,149.51372004168118
2023-01-13,0%,4%,neutral,100%,0.16262051341619302%,13357.011399324021,149.75686002084063
2023-01-16,-2%,4%,bear,50%,-0.3711005450539341%,13307.443457218213,149.20111149704763
2023-01-17,-2%,4%,bear,50%,1.2920498195786283%,13393.41285680797,151.12886418895454
2023-01-18,-2%,4%,bear,50%,-5.056308894507%,13223.023055819262,143.48732198680102
2023-01-19,2%,4%,bull,100%,1.924473493100931%,13253.80939486154,146.2486974643974
2023-01-20,-2%,4%,bear,50%,7.208170051062829%,14209.1665142869,156.79055227509556
2023-01-23,0%,4%,neutral,100%,-0.42091271599467817%,14179.262419939154,156.1306009030914
2023-01-24,0%,4%,neutral,100%,-3.014460511679653%,13965.99901024865,151.42410559221955
2023-01-25,0%,4%,neutral,100%,2.5117559353136802%,14138.341027673818,155.22750955192777
2023-01-26,-2%,4%,bear,50%,-2.08100246140076%,13991.968355340114,151.99722125738106
2023-01-27,0%,4%,neutral,100%,1.5653564899451604%,14045.874420151182,154.37651962486976
2023-01-30,-2%,4%,bear,50%,2.7899651254359363%,14143.456201706984,158.6835706842654
2023-01-31,0%,4%,neutral,100%,2.9769070810988274%,14196.968791592424,163.40743313650577
2023-02-01,-2%,4%,bear,50%,6.631948134764581%,14319.732968388435,174.24452935046895
2023-02-02,-2%,4%,bear,50%,-1.6844413435662293%,14303.10865278064,171.30948245918725
2023-02-03,0%,4%,neutral,100%,1.2368207623682066%,14309.109145396471,173.428273706148
2023-02-06,0%,4%,neutral,100%,-3.9355097135990316%,14289.779689674984,166.60298714831544
2023-02-07,-2%,4%,bear,50%,5.139163973730837%,14314.027581966824,175.1649878430011
2023-02-08,0%,4%,neutral,100%,-1.626016260162602%,14309.994463979134,172.31677665856205
2023-02-09,-2%,4%,bear,50%,-7.226365652086275%,14292.361868874419,159.86453629732551
2023-02-10,0%,4%,neutral,100%,1.4014122759369976%,14293.948064668359,162.104897533866
